"County","agricultural_and_developed_vegetation","aquatic_vegetation","developed_and_other_human_use","forest_and_woodland","introduced_and_semi_natural_vegetation","nonvascular_and_sparse_vascular_rock_vegetation","open_water","recently_disturbed_or_modified","shrub_and_herb_vegetation"
"Alachua",19.5654676867973,0,9.97453738492236,53.0369163083763,0,0.0610471487000221,3.85493734058965,8.95104714511323,4.55604698550112
"Baker",3.29083415168454,0,5.64986922118145,72.3770466649041,0,0.0974939567910561,0.555278837437679,12.8308420833963,5.19863508460493
"Bay",2.95517595276004,3.34845159227244e-05,11.845482352823,50.9719717859469,0,0.583836019628623,25.9150732222652,5.27357686621764,2.39280350783789
"Bradford",13.4616162959451,0,7.55254378407757,61.6326011413637,0,0.104538279628334,2.08926227659857,14.5431943151528,0.616243907233841
"Brevard",11.7131231695965,0,18.3758719003722,24.2275075587884,0.00570130368290535,0.182532938711898,33.7168258242603,0.922106052458379,10.8550997705339
"Broward",2.65504579104471,0,28.9370826657591,6.64312631307439,0,0.0680417358321748,7.2207452643701,0.215229147870237,54.2607290820493
"Calhoun",9.56954590036079,0,4.79639000134927,74.4384940671357,0,0.0737561738273888,1.31665963794734,9.80001125401832,0.00514296536122071
"Charlotte",18.1069660976767,0,18.3163877969366,31.6794847656896,0,0.189536803932086,18.3238293835316,1.24290761900541,12.1238898108414
"Citrus",7.11905532853237,0,21.1072810911322,39.5226182945618,0,0.205755413375741,19.3335400906544,2.50508809729071,10.1832990179938
"Clay",3.40604133751338,0,18.0207713499218,56.5894553595245,0,0.94569362204869,5.65628891118342,14.5475584430451,0.834190976763173
"Collier",4.53123525053268,0,9.72596990967149,57.7394571476961,0,0.0884145702438385,10.8795054291809,0.214113498972576,16.8013539255595
"Columbia",13.5753150386364,0,7.74752849864288,65.5688431894889,0,0.046400955426028,0.357417452917124,10.7190109918226,1.98548387306607
"DeSoto",41.8614905974504,0,4.10916374779657,44.5415951221793,0,0.0569818538893921,0.577213130620026,1.14518302158242,7.70837252648188
"Dixie",3.66310210561184,0,5.23113397207934,60.4063724601721,0,0.734787074247453,14.1410782849274,10.7935992066716,4.99017714472618
"Duval",1.90137501562779,0,35.9232132735374,35.6021819849712,0,0.435814068004482,14.4693798815279,5.46965063542796,6.19838514090324
"Escambia",12.7357545114216,0.00775880462683383,18.0448782190957,38.443785844061,0,0.429643806210923,23.2519655638388,6.05716137667057,0.987509940968428
"Flagler",7.10108950064297,0,12.2817837836171,54.4974820909284,0,0.37400123968089,13.3556804830438,8.63015261643595,3.75981028565085
"Franklin",0.667227805902566,0,3.72894812206139,43.1390612556845,0,1.46034567618731,44.1852847804877,1.86934013583848,4.90148029832701
